Date,Price,Open,High,Low,Change%
30-Jul-99,43.35,43.36,43.417,43.35,0.05%
29-Jul-99,43.33,43.38,43.49,43.33,0.00%
28-Jul-99,43.33,43.385,43.402,43.31,0.01%
27-Jul-99,43.325,43.275,43.387,43.275,0.09%
26-Jul-99,43.285,43.275,43.325,43.225,0.08%
23-Jul-99,43.25,43.25,43.57,43.23,0.00%
22-Jul-99,43.25,43.3,43.362,43.25,0.17%
21-Jul-99,43.175,43.225,43.335,43.175,-0.08%
20-Jul-99,43.21,43.25,43.267,43.2,0.01%
19-Jul-99,43.205,43.245,43.302,43.195,-0.14%
16-Jul-99,43.265,43.265,43.35,43.265,-0.01%
15-Jul-99,43.27,43.25,43.317,43.2,0.05%
14-Jul-99,43.25,43.25,43.297,43.22,0.03%
13-Jul-99,43.235,43.225,43.26,43.175,0.08%
12-Jul-99,43.2,43.25,43.35,43.2,-0.23%
9-Jul-99,43.3,43.4,43.455,43.3,-0.29%
8-Jul-99,43.425,43.325,43.485,43.325,0.16%
7-Jul-99,43.355,43.315,43.42,43.295,0.13%
6-Jul-99,43.3,43.32,43.38,43.25,0.13%
5-Jul-99,43.245,43.335,43.335,43.22,-0.32%
2-Jul-99,43.385,43.365,43.457,43.365,0.00%
1-Jul-99,43.385,43.365,43.445,43.365,0.01%
30-Jun-99,43.38,43.425,43.435,43.37,-0.05%
29-Jun-99,43.4,43.45,43.48,43.4,0.06%
28-Jun-99,43.375,43.405,43.447,43.325,0.07%
25-Jun-99,43.345,43.355,43.525,43.12,0.00%
24-Jun-99,43.345,43.395,43.442,43.345,0.27%
23-Jun-99,43.23,43.25,43.347,43.2,0.07%
22-Jun-99,43.2,43.25,43.3,43.2,0.03%
21-Jun-99,43.185,43.175,43.24,43.095,0.09%
18-Jun-99,43.145,43.115,43.177,43.015,-0.02%
17-Jun-99,43.155,43.125,43.195,43.025,0.07%
16-Jun-99,43.125,43.315,43.315,43.075,-0.46%
15-Jun-99,43.325,43.155,43.345,43.125,0.35%
14-Jun-99,43.175,43.125,43.245,43.125,0.28%
11-Jun-99,43.055,43.005,43.085,42.985,0.10%
10-Jun-99,43.01,43.05,43.1,42.96,-0.12%
9-Jun-99,43.06,42.94,43.41,42.91,0.20%
8-Jun-99,42.975,42.995,43.055,42.875,0.00%
7-Jun-99,42.975,42.935,43.04,42.895,0.09%
4-Jun-99,42.935,42.885,42.945,42.855,0.02%
3-Jun-99,42.925,42.965,43.017,42.875,0.00%
2-Jun-99,42.925,43.005,43.02,42.875,-0.05%
1-Jun-99,42.945,42.915,42.975,42.765,0.22%
31-May-99,42.85,43,43,42.85,-0.46%
28-May-99,43.05,43.2,43.27,43.05,-0.40%
27-May-99,43.225,42.965,43.325,42.965,0.88%
26-May-99,42.85,42.8,42.93,42.8,0.29%
25-May-99,42.725,42.775,42.827,42.675,0.00%
24-May-99,42.725,42.775,42.822,42.675,0.00%
21-May-99,42.725,42.785,42.845,42.675,0.00%
20-May-99,42.725,42.725,42.862,42.675,0.00%
19-May-99,42.725,42.775,42.815,42.675,0.00%
18-May-99,42.725,42.765,42.812,42.675,0.00%
17-May-99,42.725,42.775,42.847,42.675,-0.13%
14-May-99,42.78,42.76,42.824,42.76,0.13%
13-May-99,42.725,42.785,42.85,42.675,0.00%
